day,pressure ,temparature,humidity ,cloud ,rainfall,sunshine,         winddirection,windspeed
1,1025.9,18.3,72,49,1,9.3,80.0,26.3
2,1022.0,18.9,81,83,1,0.6,50.0,15.3
3,1019.7,19.3,95,91,1,0.0,40.0,14.2
4,1018.9,20.6,90,88,1,1.0,50.0,16.9
5,1015.9,20.7,95,81,1,0.0,40.0,13.7
6,1018.8,20.9,84,51,1,7.7,20.0,14.5
7,1021.8,18.8,79,56,0,3.4,30.0,21.5
8,1020.8,18.4,78,28,0,7.7,60.0,14.3
9,1020.6,18.1,78,79,0,3.3,70.0,39.3
10,1017.5,18.0,85,91,1,0.0,70.0,37.7
11,1016.5,18.1,90,90,1,2.1,40.0,23.3
12,1019.9,17.3,79,86,0,0.6,20.0,23.9
13,1020.8,16.1,77,34,0,9.1,30.0,24.4
14,1019.3,16.5,79,81,1,1.5,60.0,33.2
15,1015.4,15.1,97,97,1,0.0,50.0,37.5
16,1013.5,16.4,95,93,1,0.0,60.0,40.0
17,1011.5,17.8,90,79,1,1.6,20.0,23.4
18,1017.1,15.2,76,49,0,3.9,50.0,28.4
19,1020.1,16.4,78,84,0,1.0,60.0,38.0
20,1019.6,15.5,90,92,1,0.0,70.0,50.6
21,1017.7,16.1,95,100,1,0.0,50.0,26.2
22,1018.9,14.1,92,100,1,0.0,50.0,35.3
26,1027.1,10.4,59,85,1,0.4,20.0,21.3
27,1022.7,13.0,92,95,1,0.2,20.0,29.6
28,1018.2,16.1,98,100,1,0.0,60.0,28.8
29,1017.9,16.6,96,91,1,0.2,50.0,25.0
30,1020.0,17.6,88,80,0,3.3,50.0,21.2
31,1019.9,15.7,86,93,1,0.1,70.0,43.1
1,1022.2,12.4,93,96,1,0.0,20.0,31.9
2,1024.4,10.4,79,94,1,0.0,10.0,27.3
3,1023.6,12.5,77,88,1,0.3,40.0,21.3
4,1021.8,15.2,76,45,0,9.2,40.0,9.1
5,1021.2,14.8,66,18,0,10.1,20.0,24.4
9,1020.8,16.7,54,29,0,10.2,40.0,17.2
10,1017.5,16.6,64,77,1,0.1,40.0,22.0
11,1014.9,18.8,86,80,1,2.4,40.0,15.8
12,1013.4,19.2,95,86,1,0.6,30.0,13.9
13,1012.5,23.1,89,76,0,3.5,200.0,10.2
14,1014.8,21.7,81,82,1,3.9,20.0,15.3
15,1024.3,13.2,64,88,1,0.0,20.0,33.5
16,1025.4,12.8,63,89,0,0.7,20.0,23.5
17,1024.1,12.9,77,91,1,0.0,20.0,19.2
18,1021.9,13.7,89,95,1,0.0,40.0,18.6
19,1020.3,15.3,88,94,1,0.0,40.0,22.2
20,1023.2,16.0,67,55,1,5.9,20.0,23.9
21,1022.2,15.0,77,82,1,0.0,70.0,44.7
22,1020.6,16.1,91,88,1,0.3,50.0,24.4
23,1022.3,15.5,92,88,1,0.0,20.0,19.3
24,1027.5,13.7,78,88,1,0.0,20.0,28.0
25,1028.9,14.8,76,87,0,0.1,20.0,20.4
26,1027.4,15.2,79,88,1,0.2,30.0,15.2
27,1024.7,15.5,79,79,1,5.0,20.0,9.1
28,1023.8,16.6,72,49,0,9.5,20.0,9.2
29,1024.4,18.5,61,19,0,10.7,40.0,16.9
1,1024.7,16.5,73,43,0,9.9,70.0,34.2
